ID,Battery Capacity (in mAH),Bluetooth,Clock Speed (in GHz),Dual Sim Support,Front Camera (in MP),4G Support,Internal Memory (in GB),Mobile Depth (in cm),Mobile Weight (in g),Number of cores,Primary Camera (in MP),RAM (in MB),Talk Time (in hrs),3G Support,Touch Screen,Wifi Support,Pixel Dots,Screen Area (in sq.cm),Price Range
2234,1384,Yes,2.2,Yes,0,No,49,0.7,189,1,0,1387,13,Yes,Yes,Yes,1262225,39,Low
2235,1037,No,2.9,Yes,2,No,57,0.7,83,6,5,3148,9,Yes,No,No,722785,208,High
2236,1519,No,1.5,No,12,No,43,0.1,183,1,14,853,7,No,Yes,Yes,1420916,0,Low
2237,989,No,0.5,No,15,No,20,0.4,153,1,16,3614,10,Yes,Yes,No,64396,85,Average
2238,1040,Yes,0.5,Yes,3,No,41,0.8,116,3,18,1006,18,No,No,Yes,181792,84,Very Low
2239,1240,Yes,1.4,No,3,Yes,9,0.9,93,5,7,3959,15,Yes,No,No,629163,126,High
2240,1273,Yes,2,No,15,Yes,7,0.9,143,1,16,1743,13,Yes,Yes,No,203328,84,Low
2241,1784,No,0.5,No,8,No,28,0.3,171,4,9,2192,2,Yes,No,No,1923600,195,Average
2242,1169,Yes,1.4,Yes,7,Yes,51,0.1,177,7,19,329,13,Yes,No,Yes,370800,84,Very Low
2243,703,Yes,2.4,No,1,Yes,27,0.1,138,1,6,502,11,Yes,Yes,Yes,85540,48,Very Low
2244,959,Yes,1,No,5,Yes,15,0.4,119,5,9,3000,15,Yes,Yes,Yes,113014,0,Average
2245,1292,Yes,3,Yes,1,Yes,63,0.3,157,6,8,1413,10,Yes,Yes,Yes,591668,26,Low
2246,1927,Yes,2.1,No,0,No,5,0.9,139,6,1,2913,8,No,No,No,740484,150,High
2247,1477,Yes,1.7,No,1,No,15,0.4,178,8,5,2684,8,Yes,Yes,Yes,2014879,234,High
2248,1759,No,0.5,Yes,9,No,58,0.2,101,2,12,3428,9,Yes,Yes,No,313650,0,High
2249,831,No,2.2,No,0,Yes,31,0.3,197,3,1,1629,5,Yes,Yes,No,2322860,8,Low
2250,1803,No,1.1,Yes,1,Yes,41,0.2,146,2,10,1873,20,Yes,Yes,Yes,62526,14,Low
2251,1361,No,0.6,No,0,Yes,64,1,91,3,2,3751,19,Yes,Yes,No,99876,108,High
2252,1183,Yes,1.4,No,1,No,32,0.8,197,1,4,637,16,No,No,Yes,1303900,72,Very Low
2253,917,Yes,1.3,No,0,No,53,0.2,166,5,1,603,7,Yes,No,Yes,1004250,72,Very Low
2254,1278,Yes,0.5,Yes,2,No,7,1,192,5,3,3067,4,Yes,Yes,Yes,187253,20,Average
2255,1247,Yes,0.5,No,0,No,28,0.4,191,7,5,3268,15,No,Yes,No,1303747,48,High
2256,930,No,1,Yes,5,Yes,40,0.8,128,7,15,3816,2,Yes,Yes,Yes,948600,0,High
2257,1019,No,1.7,Yes,0,Yes,5,0.7,177,3,8,1850,11,Yes,No,Yes,1635760,50,Low
2258,1855,Yes,0.8,No,0,Yes,26,0.8,161,4,0,3481,19,Yes,Yes,Yes,1320254,56,High
2259,1730,No,0.5,Yes,4,No,54,0.7,93,3,7,1695,17,No,Yes,No,325733,95,Low
2260,1972,No,2.2,Yes,4,Yes,5,0.9,95,3,19,625,10,Yes,Yes,Yes,1700855,10,Low
2261,1887,No,2.3,Yes,4,No,35,0.9,115,2,7,3203,15,Yes,No,No,226950,35,High
2262,1590,No,1.9,No,0,No,13,0.4,111,6,1,2440,3,Yes,No,Yes,900933,0,Average
2263,603,Yes,2.7,No,0,Yes,42,0.2,135,8,0,1934,11,Yes,No,No,562484,140,Low
2264,560,Yes,2.1,No,11,Yes,37,0.6,121,4,14,3278,7,Yes,Yes,No,130587,135,Average
2265,1981,Yes,1.6,Yes,10,No,34,0.1,117,5,20,3764,14,Yes,No,Yes,1441808,44,High
2266,1190,Yes,2.1,No,0,Yes,18,0.6,160,6,2,3571,5,Yes,No,No,689080,30,High
2267,1396,Yes,0.8,Yes,7,Yes,10,0.3,108,4,16,3881,9,Yes,Yes,Yes,1111766,0,High
2268,1598,Yes,1.7,Yes,0,No,57,0.9,89,1,1,1663,14,Yes,No,Yes,290493,126,Low
2269,1692,No,2.2,No,5,Yes,11,0.1,151,3,7,524,10,Yes,Yes,No,1740816,10,Very Low
2270,628,Yes,0.5,No,0,Yes,26,0.5,106,8,2,1853,12,Yes,Yes,Yes,201113,130,Low
2271,1883,No,0.7,Yes,1,No,6,0.9,145,6,4,2067,9,Yes,No,Yes,162360,0,Average
2272,819,Yes,0.5,No,5,Yes,16,0.1,163,1,10,3325,16,Yes,No,No,1185444,75,High
2273,651,No,1.6,Yes,0,Yes,7,0.6,129,1,6,2151,20,Yes,Yes,Yes,1804364,190,Low
2274,723,No,1.1,No,2,No,27,0.7,145,2,9,2044,11,No,Yes,No,115150,78,Low
2275,1367,Yes,0.9,No,2,Yes,58,0.6,184,4,20,3946,9,Yes,No,No,872410,144,High
2276,1784,Yes,1.4,No,1,Yes,3,0.3,125,5,5,2110,8,Yes,No,Yes,2380928,50,Average
2277,1744,Yes,0.9,Yes,5,Yes,35,0.3,137,7,9,656,7,Yes,No,No,1421910,68,Very Low
2278,1086,No,2.5,No,11,No,7,0.5,116,6,14,3297,16,Yes,No,No,1167765,0,High
2279,899,No,1.7,Yes,0,Yes,3,0.1,165,8,0,1296,9,Yes,No,Yes,206913,154,Very Low
2280,896,No,0.8,No,3,No,29,0.5,91,6,10,1650,13,Yes,No,No,110700,96,Very Low
2281,1714,No,1.6,Yes,9,Yes,59,0.5,186,8,19,2546,11,Yes,Yes,Yes,1262534,180,Average
2282,1395,Yes,0.6,No,5,No,38,0.3,167,6,16,915,6,Yes,Yes,No,1344896,20,Low
2283,786,No,1.8,Yes,2,No,28,0.5,198,1,7,331,2,Yes,No,Yes,3174,28,Very Low
2284,1687,No,1.2,Yes,4,No,14,0.9,120,2,14,3975,10,No,Yes,Yes,1349964,57,High
2285,669,Yes,2.6,Yes,18,Yes,10,0.6,171,5,20,2801,10,Yes,No,No,2384200,12,Average
2286,1423,Yes,2.1,No,1,No,51,0.8,178,4,18,3331,8,Yes,Yes,No,867843,16,High
2287,1600,No,2,Yes,5,No,44,0.1,98,1,8,2939,19,Yes,Yes,Yes,885675,24,High
2288,1621,Yes,0.6,Yes,14,No,59,0.7,160,7,16,2706,20,Yes,No,No,238560,36,Average
2289,1672,Yes,1.9,No,10,No,37,0.3,194,7,15,1335,8,No,Yes,Yes,415305,7,Low
2290,1934,No,2.7,No,9,Yes,48,0.1,128,4,18,3370,2,Yes,No,Yes,405175,42,High
2291,1650,Yes,0.6,No,0,No,62,0.3,81,3,15,2596,10,No,No,No,2502990,10,High
2292,1700,No,0.5,Yes,1,No,33,0.8,189,5,2,2477,3,No,No,Yes,439682,72,Average
2293,1550,Yes,2,No,1,Yes,29,0.6,171,5,2,3465,14,Yes,Yes,No,857428,10,High
2294,626,No,1.9,No,4,No,8,0.2,185,2,6,2589,14,No,Yes,Yes,22560,150,Low
2295,1737,Yes,2,Yes,0,No,14,0.4,156,5,2,2363,10,Yes,No,Yes,1806196,0,Average
2296,1370,No,1.7,No,1,No,6,0.7,113,1,7,1302,3,No,No,Yes,814098,21,Low
2297,1899,Yes,0.8,Yes,15,No,14,0.4,191,4,16,1677,14,No,No,Yes,1614000,5,Average
2298,848,Yes,0.6,No,0,No,31,0.7,123,5,1,1108,18,Yes,Yes,No,226044,90,Very Low
2299,1430,Yes,2,Yes,0,Yes,16,0.2,171,4,1,2916,10,Yes,Yes,No,526872,18,Average
2300,768,Yes,0.5,Yes,1,No,45,0.1,175,4,16,3947,12,Yes,Yes,No,1601664,6,High
2301,1856,Yes,1.9,Yes,9,Yes,15,0.5,160,3,14,1514,13,Yes,Yes,No,321300,7,Low
2302,900,Yes,0.5,No,11,Yes,64,0.7,149,4,12,942,2,Yes,Yes,No,116112,65,Very Low
2303,1729,No,2.3,Yes,0,No,38,0.2,136,7,8,700,7,Yes,Yes,Yes,147070,16,Very Low
2304,1533,Yes,2.8,No,3,No,42,0.2,87,1,13,3246,8,No,Yes,No,2129288,20,High
2305,1210,Yes,2.3,No,0,No,63,0.9,141,6,4,977,20,Yes,No,No,89811,84,Very Low
2306,1880,Yes,1.8,Yes,1,Yes,10,0.5,198,8,4,3538,17,Yes,No,Yes,2842112,304,High
2307,996,No,0.5,Yes,14,No,61,0.8,174,7,15,1235,16,Yes,Yes,Yes,395600,110,Very Low
2308,1175,No,3,Yes,12,Yes,40,0.1,172,5,18,1507,18,Yes,Yes,No,1015812,210,Low
2309,1773,No,0.5,Yes,7,No,33,0.3,143,5,13,1994,20,Yes,No,No,972270,144,Average
2310,1263,No,2.4,Yes,11,Yes,54,0.6,100,5,14,458,15,Yes,No,No,22284,60,Very Low
2311,1956,No,1.2,Yes,10,Yes,5,0.8,156,4,11,2130,10,Yes,Yes,Yes,1525110,21,Average
2312,992,No,1.6,Yes,10,No,27,0.3,162,4,14,3894,13,Yes,No,Yes,81302,135,High
2313,911,Yes,1.7,No,1,Yes,13,0.3,126,5,2,1843,11,Yes,No,Yes,541880,78,Low
2314,1979,No,0.5,Yes,15,No,54,0.3,136,3,19,3151,20,Yes,Yes,Yes,877059,12,High
2315,1899,No,0.5,Yes,0,Yes,55,0.3,93,4,0,1796,11,Yes,No,Yes,2692179,28,Average
2316,1649,Yes,0.8,Yes,1,Yes,40,0.1,159,3,3,2755,3,Yes,No,Yes,103722,135,Average
2317,1095,Yes,1.8,Yes,9,No,47,0.3,152,6,15,1334,12,No,No,Yes,646758,24,Low
2318,1074,No,0.7,No,0,Yes,61,0.6,117,4,11,2791,12,Yes,No,Yes,539850,7,Average
2319,656,No,2.7,Yes,0,Yes,48,0.2,164,2,0,1132,14,Yes,No,No,153924,0,Very Low
2320,1394,Yes,2.7,Yes,7,No,8,0.8,150,3,9,730,4,No,Yes,Yes,218870,105,Very Low
2321,1632,Yes,1.1,No,2,Yes,45,0.8,132,4,3,379,19,Yes,No,No,27632,234,Very Low
2322,1225,No,2.9,No,13,No,35,0.5,128,3,17,1261,15,No,No,No,1972760,48,Low
2323,1337,Yes,2.4,Yes,0,No,48,0.9,107,6,2,3213,15,No,No,No,924651,50,High
2324,1178,Yes,1.1,Yes,0,Yes,11,0.5,98,2,1,2106,4,Yes,No,Yes,2572889,170,Average
2325,1269,No,1.5,Yes,1,No,51,0.7,180,4,19,827,12,Yes,Yes,No,730620,90,Very Low
2326,1526,Yes,1.2,No,7,Yes,32,0.5,128,4,12,647,18,Yes,No,Yes,1833984,57,Very Low
2327,986,No,0.7,Yes,7,Yes,16,0.4,144,8,9,300,7,Yes,No,Yes,146952,40,Very Low
2328,848,No,0.5,Yes,1,Yes,41,0.2,171,2,2,3939,3,Yes,Yes,No,393820,18,High
2329,1904,Yes,0.5,Yes,8,No,14,0.5,95,4,13,2091,6,No,Yes,Yes,526608,0,Average
2330,803,Yes,2.2,Yes,0,No,16,0.1,105,1,0,1492,18,Yes,No,No,146464,204,Very Low
2331,1399,Yes,1.9,Yes,1,No,56,0.3,153,1,15,3128,19,Yes,Yes,No,79430,34,Average
2332,788,Yes,1.5,Yes,0,Yes,22,0.5,163,4,6,3750,12,Yes,No,Yes,1929448,130,High
2333,579,Yes,1.1,No,6,Yes,58,0.2,125,1,9,1435,10,Yes,No,No,1324410,162,Low
2334,1010,No,0.7,Yes,4,Yes,28,0.5,195,8,5,3302,7,Yes,Yes,No,98397,28,Average
2335,530,Yes,0.5,Yes,0,No,47,0.5,93,3,2,3455,2,Yes,Yes,Yes,422256,152,High
2336,1289,Yes,1.8,No,1,No,64,0.6,125,7,14,2782,14,No,No,Yes,94804,27,Average
2337,1877,Yes,0.5,No,4,No,10,0.9,123,8,6,3969,7,No,No,Yes,81740,0,High
2338,1764,No,2.7,No,11,Yes,48,0.9,90,7,17,1589,20,Yes,Yes,Yes,257964,190,Low
2339,1709,No,2.2,Yes,1,Yes,13,0.6,191,6,6,3899,3,Yes,No,Yes,38184,208,High
2340,1690,No,1.3,Yes,0,No,28,0.9,85,3,1,3571,6,Yes,No,Yes,1736928,36,High
2341,600,No,2.5,Yes,3,No,9,0.2,145,4,10,2800,5,No,Yes,No,416976,102,Average
2342,743,No,0.5,No,9,Yes,53,0.3,149,2,10,2938,13,Yes,Yes,Yes,716900,27,Average
2343,1850,No,2.2,Yes,9,No,41,0.8,133,8,13,3032,10,Yes,Yes,Yes,13986,8,Average
2344,1297,No,0.5,Yes,12,No,17,0.1,196,1,14,3652,12,No,Yes,Yes,454467,76,High
2345,1706,No,1.8,Yes,10,Yes,44,0.2,137,5,13,3238,20,Yes,No,No,1031040,15,High
2346,1967,No,0.5,No,11,Yes,23,0.6,135,5,16,325,3,Yes,No,Yes,1606906,0,Very Low
2347,1392,Yes,0.5,Yes,6,No,63,0.5,181,2,9,3850,13,No,Yes,No,841164,96,High
2348,1248,Yes,2.1,Yes,2,Yes,12,0.1,170,2,3,1266,6,Yes,Yes,No,451984,0,Low
2349,894,Yes,0.5,Yes,2,No,27,0.3,192,2,6,3454,14,No,Yes,No,1468832,36,High
2350,1829,No,0.5,No,2,Yes,54,0.6,98,3,20,1634,12,Yes,No,No,444280,0,Low
2351,1372,No,0.6,No,3,Yes,42,0.7,124,6,10,3208,9,Yes,Yes,Yes,135864,90,High
2352,1429,Yes,1,No,7,No,11,0.7,150,4,8,1955,2,Yes,Yes,No,354468,35,Low
2353,706,No,0.5,Yes,10,Yes,4,0.8,190,5,18,3735,20,Yes,Yes,Yes,197064,84,High
2354,649,No,1.9,No,0,No,51,0.6,179,4,12,3446,18,No,Yes,Yes,1629512,55,High
2355,1137,Yes,0.8,No,3,Yes,7,1,122,3,18,946,7,Yes,No,Yes,332940,52,Very Low
2356,1320,Yes,0.5,Yes,11,Yes,6,0.2,164,1,14,1626,14,Yes,No,Yes,1898424,99,Low
2357,792,No,0.8,No,7,No,48,0.5,144,4,16,1583,20,No,Yes,Yes,329448,30,Low
2358,918,Yes,2.7,No,7,No,25,0.9,149,7,8,3676,2,Yes,No,Yes,329300,12,High
2359,929,Yes,0.5,Yes,7,Yes,13,1,146,7,8,1704,5,Yes,No,No,365082,30,Low
2360,767,Yes,0.5,Yes,4,No,30,0.8,100,5,8,3485,4,Yes,No,Yes,1560090,9,High
2361,1739,No,2.6,No,9,No,39,0.5,135,8,10,1882,8,Yes,Yes,No,168302,156,Low
2362,1315,No,0.5,No,0,Yes,15,0.4,134,1,0,3928,8,Yes,No,Yes,305136,32,High
2363,1388,No,1.4,Yes,4,Yes,31,0.6,184,1,14,346,12,Yes,No,No,1930734,16,Very Low
2364,1981,No,2.5,Yes,1,No,36,0.3,94,4,2,395,15,No,Yes,No,186496,63,Very Low
2365,569,No,0.5,Yes,1,Yes,53,1,170,8,20,1243,10,Yes,Yes,No,710635,170,Very Low
2366,1930,No,1.3,No,2,No,57,0.2,151,1,9,682,8,No,No,Yes,757326,160,Very Low
2367,725,Yes,0.5,No,10,No,61,0.8,108,3,17,3074,12,No,No,Yes,132080,42,Average
2368,1690,No,2.2,No,0,No,51,0.8,130,8,15,451,7,No,No,Yes,778596,24,Very Low
2369,712,Yes,1.4,No,1,Yes,33,0.2,86,4,5,1471,10,Yes,No,No,130237,0,Very Low
2370,1603,Yes,0.5,Yes,8,Yes,37,1,95,8,9,1748,5,Yes,Yes,No,2319460,150,Average
2371,1850,Yes,2.8,No,0,No,18,0.1,132,8,3,1853,9,Yes,Yes,No,874806,0,Average
2372,1472,Yes,0.7,Yes,4,Yes,41,1,145,3,6,1514,16,Yes,Yes,Yes,149798,8,Low
2373,1858,No,0.7,Yes,1,Yes,43,0.2,167,5,3,1886,7,Yes,Yes,Yes,1699842,27,Average
2374,1543,Yes,2.6,Yes,0,Yes,46,0.8,116,8,13,3023,4,Yes,Yes,No,32592,24,Average
2375,652,Yes,2.8,Yes,4,No,37,0.8,174,6,11,2904,16,No,No,No,687232,128,Average
2376,546,No,1.8,Yes,6,Yes,55,0.9,100,6,12,628,10,Yes,Yes,Yes,728161,36,Very Low
2377,1408,Yes,1.4,Yes,1,No,6,0.9,145,8,3,1833,19,No,Yes,No,429732,9,Low
2378,1021,No,1.5,Yes,3,Yes,31,0.1,97,7,10,1066,17,Yes,Yes,Yes,250803,270,Very Low
2379,567,No,1.4,Yes,14,No,60,0.1,111,2,15,1150,4,Yes,No,Yes,201552,272,Very Low
2380,1967,Yes,2.6,Yes,4,No,62,1,91,8,10,2839,10,Yes,No,No,2506750,91,High
2381,1658,No,2,Yes,8,Yes,61,0.1,180,3,20,2857,5,Yes,No,Yes,487300,7,Average
2382,1088,Yes,3,Yes,2,Yes,52,0.3,164,7,4,1447,15,Yes,Yes,Yes,50568,304,Very Low
2383,542,Yes,0.7,No,2,Yes,12,0.2,185,2,3,3445,4,Yes,Yes,Yes,3296106,34,High
2384,788,No,1.6,Yes,6,Yes,52,0.1,96,1,20,1941,19,Yes,Yes,No,761080,0,Low
2385,576,Yes,2.5,Yes,10,No,57,0.7,179,5,15,2522,12,No,Yes,No,1670904,55,Average
2386,950,Yes,1.6,No,5,Yes,41,0.5,188,3,20,2932,20,Yes,No,No,140311,70,Average
2387,518,Yes,0.8,No,3,Yes,17,0.5,133,3,7,2239,7,Yes,Yes,Yes,431460,21,Low
2388,1996,Yes,1.9,No,4,No,55,0.3,81,7,8,1852,4,No,Yes,Yes,1478290,16,Average
2389,1197,No,2.9,No,6,Yes,38,0.1,83,6,17,3525,16,Yes,No,No,2895560,117,High
2390,1006,Yes,2.5,Yes,9,No,14,0.7,186,1,12,1955,9,Yes,Yes,No,222720,102,Low
2391,1679,Yes,1.5,No,2,Yes,4,0.1,133,4,3,1557,12,Yes,No,Yes,185319,240,Low
2392,1262,No,1.4,Yes,7,Yes,64,0.1,116,7,16,3060,4,Yes,Yes,Yes,37666,5,Average
2393,560,No,1.3,Yes,13,No,29,1,160,1,19,2832,7,Yes,No,No,1077234,16,Average
2394,904,No,2.4,No,5,Yes,55,0.6,158,4,13,2008,16,Yes,No,No,404156,6,Low
2395,1834,Yes,2.1,No,1,Yes,55,0.1,137,3,10,2420,8,Yes,No,Yes,789930,45,Average
2396,681,No,1.2,Yes,8,No,13,0.8,87,3,17,292,18,No,No,Yes,178848,120,Very Low
2397,687,No,0.6,Yes,13,Yes,14,0.4,185,2,16,1580,19,Yes,Yes,Yes,1168020,76,Low
2398,863,No,2.9,No,11,Yes,52,0.8,119,6,13,1345,20,Yes,No,No,1639820,0,Low
2399,518,Yes,2.7,No,0,Yes,45,0.7,159,6,15,1208,9,Yes,Yes,No,416796,90,Very Low
2400,1488,No,1.8,No,0,Yes,2,0.1,124,4,0,3349,2,Yes,No,No,594405,102,High
2401,944,No,2.4,No,0,No,35,0.5,127,3,1,2804,10,Yes,Yes,No,5033,36,Low
2402,1283,No,0.5,Yes,6,No,48,0.5,176,6,9,1182,17,Yes,Yes,No,848320,88,Low
2403,817,Yes,1,Yes,13,Yes,40,0.8,140,4,17,436,14,Yes,No,Yes,2112200,114,Very Low
2404,804,No,2.6,Yes,2,No,49,0.6,105,1,18,2256,7,Yes,No,Yes,599082,16,Low
2405,1883,Yes,2.6,No,2,Yes,50,0.1,169,5,3,427,10,Yes,No,Yes,175593,136,Very Low
2406,1177,No,0.5,No,5,Yes,2,0.9,141,7,12,715,4,Yes,No,No,388570,95,Very Low
2407,1765,Yes,2,No,7,No,18,0.9,85,4,8,1199,10,Yes,No,No,1249780,28,Low
2408,1997,No,2.1,No,10,Yes,60,0.7,84,8,16,788,8,Yes,No,Yes,1906310,255,Low
2409,989,Yes,2.6,Yes,1,No,14,0.2,148,4,11,507,13,No,Yes,Yes,558657,130,Very Low
2410,1370,Yes,0.6,Yes,0,Yes,56,0.5,124,6,3,974,15,Yes,No,No,1022847,20,Low
2411,861,No,0.5,No,0,No,64,0.8,105,7,1,600,12,No,Yes,No,2564864,15,Very Low
2412,1745,No,1.8,No,0,No,45,0.1,110,2,2,2352,16,Yes,No,Yes,1546150,99,High
2413,1187,No,0.6,Yes,0,Yes,4,0.7,92,8,0,2518,20,Yes,Yes,Yes,925954,168,Average
2414,1422,Yes,1.8,No,12,No,3,0.9,145,1,13,3941,2,No,No,No,1251129,63,High
2415,658,Yes,2.4,No,0,Yes,38,1,94,8,1,2585,8,Yes,No,No,622700,38,Average
2416,1180,Yes,2.3,Yes,0,Yes,32,0.8,97,2,1,3504,10,Yes,Yes,Yes,2824486,119,High
2417,521,Yes,2.6,Yes,1,Yes,64,0.8,200,4,11,834,12,Yes,Yes,Yes,626175,30,Very Low
2418,666,No,1.1,No,1,Yes,28,0.9,179,1,13,3850,9,Yes,Yes,Yes,230162,35,High
2419,805,Yes,1.5,No,0,No,25,0.3,174,2,3,1580,3,Yes,No,No,288666,195,Low
2420,1008,Yes,2.9,No,0,No,39,0.9,161,6,5,3589,18,Yes,No,Yes,693820,14,High
2421,986,No,2.8,No,0,Yes,26,0.1,80,8,9,1316,8,Yes,No,No,0,35,Very Low
2422,1655,No,2,No,0,No,23,0.6,192,2,1,1872,13,Yes,Yes,No,375626,99,Low
2423,1391,Yes,0.5,No,0,Yes,53,0.2,114,5,1,1114,17,Yes,No,Yes,1514916,0,Low
2424,1042,Yes,0.5,Yes,11,No,13,0.1,148,3,20,1715,7,Yes,Yes,Yes,55762,119,Very Low
2425,916,Yes,1.1,Yes,5,Yes,44,0.9,116,3,16,2367,7,Yes,No,Yes,1010876,40,Average
2426,681,No,2.6,No,1,No,29,0.9,162,3,7,575,4,Yes,Yes,Yes,1680984,75,Very Low
2427,1224,Yes,1.1,Yes,1,Yes,34,1,138,6,3,2992,3,Yes,Yes,No,2705295,65,High
2428,1234,No,2.1,Yes,4,Yes,44,0.4,107,3,17,2819,8,Yes,No,Yes,840038,39,Average
2429,1093,Yes,2.7,No,8,No,63,0.5,138,8,9,3556,13,No,No,Yes,1189430,26,High
2430,583,No,0.5,No,9,Yes,33,0.9,136,5,18,3236,13,Yes,No,No,2967902,108,High
2431,1598,Yes,1,Yes,8,Yes,49,0.5,115,2,14,1313,7,Yes,Yes,No,662121,24,Low
2432,1988,Yes,2.8,Yes,3,No,34,0.4,163,3,16,2872,20,Yes,Yes,Yes,2418801,42,High
2433,1746,No,0.5,Yes,9,No,51,0.8,184,7,19,1822,15,No,Yes,No,595660,306,Low
2434,907,Yes,2.7,No,8,No,53,0.7,156,2,13,3469,12,Yes,No,No,18810,40,Average
2435,1472,No,0.5,No,3,Yes,53,0.7,103,1,4,2001,14,Yes,Yes,Yes,302220,0,Low
2436,916,Yes,1.3,No,5,No,10,0.8,173,4,8,3706,15,No,Yes,No,43516,72,Average
2437,1427,Yes,0.8,Yes,2,No,31,0.9,186,1,20,2542,10,No,No,No,938670,42,Average
2438,1101,Yes,2.9,Yes,3,No,5,0.5,141,5,7,1567,11,Yes,Yes,No,57780,30,Very Low
2439,723,Yes,0.5,No,0,No,36,0.8,104,4,0,2669,16,No,No,Yes,135182,102,Average
2440,1403,No,0.7,Yes,4,No,32,0.1,117,1,5,2499,4,No,No,Yes,141607,160,Average
2441,657,Yes,0.8,Yes,4,No,45,0.1,87,1,6,2273,10,No,Yes,No,1062180,180,Low
2442,1688,Yes,0.8,No,0,No,14,0.9,118,1,2,1773,18,Yes,Yes,Yes,68400,0,Low
2443,1086,No,0.5,No,10,No,35,0.6,125,7,17,421,6,Yes,No,Yes,747792,35,Very Low
2444,876,Yes,1.1,No,2,Yes,48,0.9,196,2,3,630,18,Yes,No,Yes,641900,153,Very Low
2445,1065,No,0.5,No,0,No,25,0.6,189,6,1,1114,19,No,No,Yes,772896,5,Very Low
2446,1235,No,1.5,No,3,No,33,0.1,164,8,16,1623,20,Yes,Yes,Yes,1197003,30,Low
2447,1959,Yes,2.7,No,0,Yes,2,0.2,92,3,11,2125,8,Yes,Yes,No,1406656,98,Average
2448,650,Yes,1.5,No,12,No,48,0.8,187,4,14,1622,19,Yes,Yes,Yes,1272926,48,Low
2449,1465,Yes,2.9,No,0,No,38,0.3,88,1,7,1162,10,Yes,Yes,Yes,293014,140,Very Low
2450,1030,No,0.9,No,6,Yes,29,0.1,113,1,7,3762,12,Yes,No,No,108576,20,High
2451,853,Yes,1.9,Yes,17,Yes,26,0.5,94,6,18,3069,20,Yes,No,No,93138,323,Average
2452,744,Yes,2.2,No,6,Yes,52,0.9,196,4,7,1571,18,Yes,Yes,Yes,160800,35,Very Low
2453,583,Yes,1.1,Yes,15,No,24,0.4,168,2,19,3260,14,Yes,Yes,No,334411,84,Average
2454,690,No,0.5,No,2,No,62,0.3,88,1,9,3206,19,Yes,No,No,784920,160,High
2455,683,Yes,1.9,Yes,16,Yes,56,0.1,190,1,17,592,3,Yes,No,No,84240,153,Very Low
2456,590,No,2.3,Yes,2,No,30,0.3,178,3,14,1188,14,Yes,No,Yes,400950,198,Very Low
2457,1266,Yes,1,No,0,Yes,2,0.7,87,7,1,3067,16,Yes,No,Yes,868480,110,High
2458,815,Yes,1.8,No,9,No,18,0.9,83,7,12,2131,5,No,Yes,No,127575,119,Low
2459,1893,Yes,1.5,Yes,0,Yes,42,0.5,179,1,3,1425,10,Yes,No,No,2097183,19,Low
2460,1202,No,2.5,Yes,3,No,22,0.4,112,2,8,291,4,No,No,No,3722100,10,Very Low
2461,1577,Yes,1.5,No,16,Yes,3,0.7,180,8,17,3116,16,Yes,Yes,No,299679,78,High
2462,1234,No,2.9,No,8,Yes,44,0.8,129,1,12,2440,19,Yes,Yes,No,3371653,28,Average
2463,717,No,1.8,No,1,Yes,25,0.4,173,5,8,3631,6,Yes,No,Yes,1060116,30,High
2464,1074,Yes,1.5,No,5,No,35,0.6,193,4,13,1104,15,No,Yes,No,160593,160,Very Low
2465,1439,Yes,1.2,No,11,Yes,58,0.2,183,1,20,3069,2,Yes,Yes,No,1232288,187,High
2466,983,Yes,1.6,No,7,Yes,55,0.4,168,8,8,1425,4,Yes,Yes,No,197415,0,Very Low
2467,1988,No,2.5,No,7,Yes,63,0.6,153,4,11,2276,11,Yes,No,No,576255,91,Average
2468,1692,No,1.3,Yes,0,Yes,25,0.7,149,3,12,3192,3,Yes,Yes,Yes,2108678,36,High
2469,718,Yes,0.5,Yes,2,No,35,0.9,181,4,5,3021,12,No,No,Yes,2161438,40,Average
2470,1519,No,0.5,No,0,Yes,36,0.6,93,8,2,3082,9,Yes,No,No,1224172,198,High
2471,776,No,3,Yes,9,No,9,0.5,110,2,12,1346,3,No,No,Yes,568816,10,Very Low
2472,881,Yes,2.8,No,1,No,36,0.5,167,1,6,2354,5,Yes,Yes,Yes,1994164,190,Average
2473,1018,No,0.6,Yes,0,Yes,25,0.8,152,7,2,732,13,Yes,Yes,No,179872,96,Very Low
2474,1031,Yes,0.5,Yes,2,Yes,31,0.1,82,8,19,2305,4,Yes,Yes,No,1034748,40,Average
2475,875,No,1,No,14,No,37,0.6,151,7,20,2985,9,Yes,Yes,Yes,2150052,6,Average
2476,1341,No,1,No,5,Yes,40,0.2,128,5,12,265,3,Yes,Yes,Yes,2437800,57,Very Low
2477,560,Yes,2.4,No,4,Yes,5,0.3,106,1,8,2050,6,Yes,No,No,1854468,234,Low
2478,1719,No,2.1,No,0,Yes,63,0.7,189,7,2,1669,13,Yes,No,Yes,964193,0,Low
2479,1703,No,1.6,No,16,Yes,43,1,139,8,17,585,17,Yes,Yes,Yes,351016,143,Very Low
2480,1408,Yes,1.8,No,1,No,59,0.8,168,1,2,342,8,Yes,No,Yes,1052520,0,Very Low
2481,701,Yes,0.8,No,3,No,53,0.2,87,4,7,1972,5,Yes,No,No,1221387,72,Low
2482,1560,Yes,0.5,No,14,No,47,0.3,172,2,18,1540,3,No,No,No,1736280,119,Low
